_2018rank,City,State_c_,_2018estimate,_2010Census,Change,_2016_land_area,_2016_population_density
101,Des Moines," Iowa",216853,203433,+6.60%,88.9 sq mi,"2,424/sq mi"
208,Cedar Rapids," Iowa",133174,126326,+5.42%,70.8 sq mi,"1,852/sq mi"
305,Davenport," Iowa",102085,99685,+2.41%,62.9 sq mi,"1,631/sq mi"
14,Columbus," Ohio",892533,787033,+13.40%,218.5 sq mi,"3,936/sq mi"
52,Cleveland," Ohio",383793,396815,−3.28%,77.7 sq mi,"4,965/sq mi"
65,Cincinnati," Ohio",302605,296943,+1.91%,77.4 sq mi,"3,860/sq mi"
74,Toledo," Ohio",274975,287208,−4.26%,80.7 sq mi,"3,451/sq mi"
120,Akron," Ohio",198006,199110,−0.55%,62.0 sq mi,"3,188/sq mi"
190,Dayton," Ohio",140640,141527,−0.63%,55.7 sq mi,"2,522/sq mi"
114,Salt Lake City," Utah",200591,186440,+7.59%,111.2 sq mi,"1,742/sq mi"
200,West Valley City," Utah",136401,129480,+5.35%,35.5 sq mi,"3,847/sq mi"
245,Provo," Utah",116702,112488,+3.75%,41.7 sq mi,"2,803/sq mi"
248,West Jordan," Utah",116046,103712,+11.89%,32.3 sq mi,"3,520/sq mi"
97,Boise[r]," Idaho",228790,205671,+11.24%,82.1 sq mi,"2,718/sq mi"
287,Meridian," Idaho",106804,75092,+42.23%,29.8 sq mi,"3,584/sq mi"
4,Houston[3]," Texas",2325502,2100263,+10.72%,637.5 sq mi,"3,613/sq mi"
7,San Antonio," Texas",1532233,1327407,+15.43%,461.0 sq mi,"3,238/sq mi"
9,Dallas," Texas",1345047,1197816,+12.29%,340.9 sq mi,"3,866/sq mi"
11,Austin," Texas",964254,790390,+22.00%,312.7 sq mi,"3,031/sq mi"
13,Fort Worth," Texas",895008,741206,+20.75%,342.9 sq mi,"2,491/sq mi"
22,El Paso," Texas",682669,649121,+5.17%,256.8 sq mi,"2,660/sq mi"
48,Arlington," Texas",398112,365438,+8.94%,95.8 sq mi,"4,100/sq mi"
59,Corpus Christi," Texas",326554,305215,+6.99%,174.6 sq mi,"1,866/sq mi"
69,Plano," Texas",288061,259841,+10.86%,71.7 sq mi,"3,990/sq mi"
80,Laredo," Texas",261639,236091,+10.82%,101.1 sq mi,"2,544/sq mi"
84,Lubbock," Texas",255885,229573,+11.46%,124.6 sq mi,"2,027/sq mi"
93,Garland," Texas",242507,226876,+6.89%,57.0 sq mi,"4,122/sq mi"
94,Irving," Texas",242242,216290,+12.00%,67.0 sq mi,"3,557/sq mi"
116,Amarillo," Texas",199924,190695,+4.84%,101.4 sq mi,"1,968/sq mi"
125,Grand Prairie," Texas",194614,175396,+10.96%,72.3 sq mi,"2,637/sq mi"
130,McKinney," Texas",191645,131117,+46.16%,63.0 sq mi,"2,735/sq mi"
134,Frisco," Texas",188170,116989,+60.84%,67.7 sq mi,"2,417/sq mi"
137,Brownsville," Texas",183392,175023,+4.78%,132.5 sq mi,"1,387/sq mi"
168,Pasadena," Texas",153219,149043,+2.80%,43.5 sq mi,"3,525/sq mi"
174,Killeen," Texas",149103,127921,+16.56%,53.5 sq mi,"2,680/sq mi"
183,McAllen," Texas",143433,129877,+10.44%,58.4 sq mi,"2,435/sq mi"
184,Mesquite," Texas",142816,139824,+2.14%,47.2 sq mi,"3,045/sq mi"
186,Midland," Texas",142344,111147,+28.07%,74.4 sq mi,"1,809/sq mi"
196,Denton," Texas",138541,113383,+22.19%,93.4 sq mi,"1,433/sq mi"
197,Waco," Texas",138183,124805,+10.72%,89.0 sq mi,"1,510/sq mi"
199,Carrollton," Texas",136879,119097,+14.93%,36.3 sq mi,"3,674/sq mi"
216,Round Rock," Texas",128739,99887,+28.88%,35.6 sq mi,"3,396/sq mi"
225,Abilene," Texas",122999,117063,+5.07%,106.7 sq mi,"1,146/sq mi"
229,Pearland," Texas",122149,91252,+33.86%,46.3 sq mi,"2,453/sq mi"
234,Richardson," Texas",120981,99223,+21.93%,28.6 sq mi,"3,963/sq mi"
235,Odessa," Texas",120568,99940,+20.64%,45.2 sq mi,"2,608/sq mi"
238,Sugar Land," Texas",118600,78817,+50.48%,34.0 sq mi,"3,488/sq mi"
239,Beaumont," Texas",118428,118296,+0.11%,82.1 sq mi,"1,441/sq mi"
247,College Station," Texas",116218,93857,+23.82%,51.0 sq mi,"2,199/sq mi"
288,Lewisville," Texas",106586,95290,+11.85%,36.7 sq mi,"2,852/sq mi"
291,League City," Texas",106244,83560,+27.15%,51.2 sq mi,"1,992/sq mi"
292,Tyler," Texas",105729,96900,+9.11%,56.6 sq mi,"1,852/sq mi"
296,Wichita Falls," Texas",104576,104553,+0.02%,72.2 sq mi,"1,450/sq mi"
301,Allen," Texas",103383,84246,+22.72%,27.1 sq mi,"3,715/sq mi"
312,San Angelo," Texas",100215,93200,+7.53%,59.9 sq mi,"1,681/sq mi"
68,Anchorage[p]," Alaska",291538,291826,−0.10%,"1,706.6 sq mi",175/sq mi
56,Honolulu[b]," Hawaii",347397,337256,+3.01%,60.5 sq mi,"5,815/sq mi"
51,Wichita," Kansas",389255,382368,+1.80%,160.4 sq mi,"2,431/sq mi"
128,Overland Park," Kansas",192536,173372,+11.05%,75.1 sq mi,"2,516/sq mi"
171,Kansas City[x]," Kansas",152958,145786,+4.92%,124.8 sq mi,"1,216/sq mi"
192,Olathe," Kansas",139605,125872,+10.91%,60.9 sq mi,"2,225/sq mi"
220,Topeka," Kansas",125904,127473,−1.23%,61.5 sq mi,"2,062/sq mi"
28,Las Vegas," Nevada",644644,583756,+10.43%,134.4 sq mi,"4,709/sq mi"
62,Henderson," Nevada",310390,257729,+20.43%,104.7 sq mi,"2,798/sq mi"
86,Reno," Nevada",250998,225221,+11.45%,107.3 sq mi,"2,286/sq mi"
90,North Las Vegas," Nevada",245949,216961,+13.36%,98.0 sq mi,"2,436/sq mi"
297,Sparks," Nevada",104246,90264,+15.49%,35.9 sq mi,"2,810/sq mi"
25,Portland," Oregon",653115,583776,+11.88%,133.5 sq mi,"4,793/sq mi"
